Összeállítás,Szerelvénysz.,Hétfő,Kedd - Csütörtök,Péntek,Szombat,Vasárnap,Hétfő
"1Bbdpmz IC+ (84-91 4xx)(ksz.20),  1Apee (10-44)(ksz.18), 1Bhv (20-05)(ksz.17)",32201,609v - 602e - 615v - 626e (Zn),(Zn) 617v - 614e - Ni-től 614 - 601v,600e -  605v - 606k - Db-től 606v  - S26213e (Zn-Ni),5119e - 580v - 604e - KM - 603v - 2638e (Sl),2649k  - 34k - 33k - 618k - aknás vizsgálat,609v
"1Bbdpmz IC+ (84-91 4xx)(ksz.20),  1Apee (10-44)(ksz.18), 1Bhv (20-05)(ksz.17)",32202,(Zn) 617v - 614e - Ni-től 614 - 601v,600e - 605v - 606k - Db-től 606v  - S26211e (Zn-Ni),5119k - 580v - 604e - KM - 603v - 6018k,6019k3  - 34k - 33k - 618k - aknás vizsgálat,609v - 602e - 615v - 626e (Zn),617v
"1Bbdpmz IC+ (84-91 4xx)(ksz.20),  1Apee (10-44)(ksz.18), 1Bhv (20-05)(ksz.17)",32203,600e - 605v - 606k - Db-től 606v  - S26211e (Zn-Ni),5119k - 580v - 604e - KM - 603v - 6018k,6019k2  - 34k - 33k - 618k - aknás vizsgálat,609v - 602e - 615v - 626e (Zn),(Zn) 617v - 614e - Ni-től 614 - 601v,600e
"1Bbdpmz IC+ (84-91 4xx)(ksz.20),  1Apee (10-44)(ksz.18), 1Bhv (20-05)(ksz.17)",32204,5119k - 580v - 604k - KM - 603v - 6018k,6019v  - 34e - 33v - 618e  - aknás vizsgálat,609v - 602e - 615v - 626e (Zn),(Zn) 617v - 614e - Ni-től 614 - 601v,600e - 605v - 606k - Db-től 606v  - S26211e (Zn-Ni),5119k
"1Bbdpmz IC+ (84-91 4xx)(ksz.20),  1Apee (10-44)(ksz.18), 1Bhv (20-05)(ksz.17)",32205,6019v  - 34e - 33v - 618e  - aknás vizsgálat,609v - 602e - 615v - 626e (Zn),(Zn) 617k - 614k - Ni-től 614v - 601v,600e - 605v - 606k - Db-től 606v  - S26211e (Zn-Ni),S25119e (Ni-Sr) - 15119e - 580v - 604e - KM - 603k1 - 6098k3,6019v
1Bpee (20-44)(ksz. 33),32206,S26110e (Db-Ni) - (ksz. 24)  609e - 602v,Karb. - (4) 615e-626v Ni-ig - 6121k,6019v - (ksz. 16) 34e - 33v - 618e,(ksz. 24) 609e - 602v,S26210e (Ni-Zn) - (ksz. 33) 603v - 6098e,S26110e (Db-Ni) - (ksz. 24)  609e
1Bpee (20-44)(ksz. 32),32207,S26110k (Db-Ni)-  karb.,Karb. - (4) Ni-től 6121k,S26011v (Db-Sl) -  (ksz. 24)  682v - 564e - 608v,Karb.,S26210k (Ni-Zn) - (ksz. 32) 603k - Ni-től 603k3 - 6098k1,S26110k (Db-Ni)-  karb.
1Apee (10-44)(ksz. 16),32208,S26110v (Db-Ni) - karb.,Karb.,(ksz. 19)(1.o. kocsiként)  605k - 606k - S26213k (Zn-Ni),Karb.,S26210v (Ni-Zn) - (ksz. 16) 603e - Ni-től 603k2 - 6098k2,S26110v (Db-Ni) - karb.
2Bpee (20-44),32211,609k - 602k - 615e - 626v (Zn),(Zn) 617e - 614v Ni-ig,"karb. - (ksz. 25, 24) 615e - 626v (Zn) - S26213k (Zn-Ni) - aknás vizsgálat",5119v - 580e - 604v - KM - 603e - 2638v (Sl),2649k - 34k - Ni-től 34v - Zn-tól 34e - Csaptól 34 - 32521 - 601e,600v
2Bpee (20-44),32212,(Zn) 617e - 614v Ni-ig,Karb. - KM - T3 - aknás vizsgálat,5119v - 580e - 604v - KM - 603e - 6018v,6019k2 - 34k - Ni-től 34v - Zn-tól 34e - Csaptól 34 - 32521 - 601e,"600v - (33,32) 605e - (32,33) 606v Db-ig - 638 - 32421",32410e - 639e
2Bpee (20-44),32213,Karb. - KM - T3 - aknás vizsgálat,5119v - 580e - 604v - KM - 603e - 6018v,6019k1 - 34k - Ni-től 34v - Zn-tól 34e - Csaptól 34 - 32521 - 601e,"600v - (33,32) 605e - (32,33) 606v Db-ig - 638 - 32421","32410e - (33,32) 639 - Db-től 619v - (15,16) 606e - S26211v (Zn-Ni)",6230e
2Bpee (20-44),32214,5119v - 580e - 604v - KM - 603e - 6018v,6019k - 34k - Ni-től 34v - Zn-tól 34e - Csaptól 34 - 32521 - 601e,"600v - (33,32) 605k - (32,33) 606k Db-ig - 638e - 32421v","32410e - (33,32) 639v - Db-től 619v - (14,15) 606e - S26211v (Zn-Ni)",6230e - 32512e - Csaptól 32512 - 33 - Csaptól 33e - 618v - aknás vizsgálat,609k
2Bpee (20-44),32215,6019k - 34k - Ni-től 34v - Zn-tól 34e - Csaptól 34 - 32521 - 601e,"600v - (33,32) 605e - (32,33) 606v Db-ig - 638 - 32421","32410e - (33,32) 639 - Db-től 619v - (15,16) 606e - S26211v (Zn-Ni)",6230e - 32512e - Csaptól 32512 - 33 - Csaptól 33e - 618v - aknás vizsgálat,609e - 602v - 615k - 626k - Ni-től 626v (Zn),617e
2Bpee (20-44),32216,"600v - (33,32) 605e - (32,33) 606v Db-ig - 638 - 32421","32410e - (33,32) 639 - Db-től 619v - (15,16) 606e - S26211v (Zn-Ni)",6230e - 32512e - Csaptól 32512 - 33 - Csaptól 33e - 618v - aknás vizsgálat,609k - 602k - 615e - 626v (Zn),(Zn) 617e - 614v Ni-ig,Karb.
2Bpee (20-44),32217,"32410e - (33,32) 639 - Db-től 619v - (15,16) 606e - S26211v (Zn-Ni)",6230e - 32512e - Csaptól 32512 - 33 - Csaptól 33e - 618v - aknás vizsgálat,609e - 602v - 615e - 626v (Zn),"(Zn) 617e - 614v Ni-ig   - (1Bpee) 6121k(1Bpee) Ni állva","(1Bpee) S26011k2 (Db-Sl) - 2649v - (ksz.16) 34e - 33k - 618e - aknás vizsgálat(1Bpee) (ksz. 24) 615k - 626k Ni-ig - aknás vizsgálat",5119v
2Bpee (20-44),32218,6230e - 32512e - Csaptól 32512 - 33 - Csaptól 33e - 618v - aknás vizsgálat,609e - 602v - 615e - 626v (Zn),"(Zn) 617e - 614v Ni-ig, (1Bpee) Ni állva(1Bpee) Ni-től 6221v Db-ig","(1Bpee) Ni KM- T3(1Bpee)  6019v - (ksz. 16) 34e - 33v - 618e - aknás vizsgálat",S25119v (Ni-Sr) - 15119v - 580e - 604v - KM - 603e - 6098v,6019k
101-es vgz. miatt Hargita 100-as vonali pótlására (IC34-re)  1Bhv (20-05)(ksz. 430),32221,6019e - (ksz. 430) 34v Ni-ig - 6121e,6019e - (ksz. 430) 34v Ni-ig - 6121e,6019e - (ksz. 430) 34v Ni-ig - Ni-től 6221k Db-ig,6019e - (ksz. 430) 34v Ni-ig - 6121e,S26011k1 (Db-Sl) - 2649e - (ksz. 430) 34v Ni-ig - 6121e,6019e - (ksz. 430) 34v Ni-ig
1Bhv (20-05),32411,32410e - IC639v –  S26114e (Db-Ni),Ni karb. - KM - T3,(ksz. 16)  IC617v - IC614e - S26213v (Zn-Ni),Ni tárol,(ksz 34)  605e - 606v Db-ig - 638v - 32421e - Mk átsoroz,32410e
1Bhv (20-05),32412,Ni karb. - KM - T3,Ni karb. - KM - T3,(ksz. 15)  IC617v - IC614e - S26213v (Zn-Ni),Ni tárol,(ksz. 26) 615e - 626v Ni-ig,Ni karb. - KM - T3
