Alap?ssze?ll?t?s,Szerelv?nysz,h?tf?,kedd-cs?t?rt?k,p?ntek,szombat,vas?rnap,h?tf?
1 Flirt,GYSEV,9829 - ...... - 9846 - 9558 - 9561,9829 - ...... - 9846 - 9558 - 9561,9829 - ...... - 9846 - 9558 - 9561,9829 - ...,... - 19818,9829 - ...
1 Flirt,GYSEV,... - 9818,... - 9818,... - 9818,... - 9818 - 9571 - 29522,... - 9818,9839 - ...
