Összeállítás,Szerelvénysz.,Hétfő,Kedd-Csütörtök,Péntek,Szombat,Vasárnap,Hétfő
1 Ap (10-44) 1 Bp (20-44) 3 Bd (20-37 300),41101,707-732-735-726,709-722-725-716-711,7020-727-714-713-708,717-704-703-736,707-732-735-726-721,700
1 Ap (10-44) 1 Bp (20-44) 3 Bd (20-37 300),41102,709-722-725-716-711,7020-727-714-713-708,7009-712-715-706-701-7028,7029-702-705-734-733,700-737-724-723-718,717
1 Ap (10-44) 1 Bp (20-44) 3 Bd (20-37 300),41103,7020-727-714-713-708,7009-712-715-706-701-7028,7029-702-705-734-733-728,707-732-735-726,717-704-703-736,707
1 Ap (10-44) 1 Bp (20-44) 3 Bd (20-37 300),41104,7009-712-715-706-701-7028,7029-702-705-734-733,700-737-724-723-718,7009-712-715-706-701-7028,7029-702-705-734-733-728,709
1 Ap (10-44) 1 Bp (20-44) 3 Bd (20-37 300),41105,7029-702-705-734-733,700-737-724-723-718,707-732-735-726-721,700-737-724-723-718,709-722-725-716-711,7020
1 Ap (10-44) 1 Bp (20-44) 3 Bd (20-37 300),41106,700-737-724-723-718,717-704-703-736,717-704-703-736,709-722-725-716-711,7020-727-714-713-708,7009
1 Ap (10-44) 1 Bp (20-44) 3 Bd (20-37 300),41107,717-704-703-736,707-732-735-726,709-722-725-716-711,7020-727-714-713-708,7009-712-715-706-701-7028,7029
1 Bd (20-37 300),41121,707-732-735-726,709-722-725-716,707-732-735-726,,705-734-733-728,709
1 Bd (20-37 300),41122,709-722-725-716,713-708,709-722-725-716,,713-708,7009
1 Bd (20-37 300),41123,709-722-725-716,703-736,727-714-713-708,717-704-703-736,703-736,707
1 Bd (20-37 300),41124,7009-712-715-706,707-732-735-726,717-704-703-736,709-722-725-716,703-736,707
1 Bd (20-37 300),41125,707-732-735-726,709-722-725-716,709-722-725-716,,705-734-733-728,709
1 Bd (20-37 300),41126,7029-702-713-708,7009-712-715-706,707-732-735-726,,715-706-701-7028,7029
1 Bd (20-37 300),41127,,,717-704-703-736,709-722-725-716,713-708,
1 Bd (20-37 300),41128,,,7009-712-715-706,,723-718,
1 Bd (20-37 300),41129,,,727-714-713-708,717-704-703-736,723-718,
1 Bd (20-37 300),41130,7029-702-703-736,707-732-735-726,7009-712-715-706,,715-706-701-7028,7029
1 Bd (20-37 300),41131,,,725-716,7009-712-715-706,713-708,
1 Bd (20-37 300),41132,,,735-726,,723-718,
1 BDbh (82-28) 2 Bd (20-37 300) 1 Bp (20-44),41133,1787-1786,1787-1786,1787-1786,1787-1786,1787-1786,1787
1 BDbh (82-28),41134,,,1787e-1786v,1787e-1786v,1787e-1786v,
1 BDbh (82-28),41151,7027-7022-7013-7018,7027-7022-7013-7018,7027-7022-7013-7018,7027-7022-7013-7018,7027-7022-7013-7018,7027
1 Bd (20-37 300),41152,7010-27025-7016-7011,7010-27025-7016-7011,7010-27025-7016-7011,7010-7037-7016-7011,7010-7037-7016-7011,7010
1 Bd (20-37 300),41153,,,737-724-723-718,,703-736,
