?ssze?ll?t?s,Szerelv?nysz.,H?tf?,Kedd,Szerda,Cs?t?rt?k,P?ntek,Szombat,Vas?rnap,H?tf?
"1BDt,3Bhv",31518,karbantart?s - 6254 - 6221v Db-ig,S26011 (Db-Sl) - 6120 - 6224 - S26211v (Zn-Ni) - 6121v,karb. - KM - T3 - 6254 - 6221v Db-ig,S26011 (Db-Sl) - 6120 - 6224 - S26211v (Zn-Ni) - 6121v,karb. - KM - T3 - 6254,6209 - 6240 - 6205 - 6212,6221,S26035 (Db-Pl) - (Pl) 6140
"1BDt,3Bhv",31519,S26033 (Pl-KJ) - (KJ) 6012 - KM - T3 - S26114e (Db-Ni),6220 - 6207 - 6260 - 6295 - 6214 - 6293 (Ni) - 6298,6239 - 6149 - 6114 - 6135 - 6118,6137 - KM - T3 - S26114v (Db-Ni),6119 - S22611 (Sl-Cv) - 6112 -  6125 -  S22612 (Cv-Sl),Sl t?rol,Sl t?rol,S22639 (Sl-Cv) - 6150
3Bd,31521,6099e - Pv t?rol - 6018e,6099e - Pv t?rol - 6018e,6099e - Pv t?rol - 6018e,6099e - Pv t?rol - 6018e,6099e - IC734 er - IC733 er - 6018e,"(3Bd) karb.  - (2Bd) Db ?llva, (1Bd) S26112k (Db-Ni)","(2Bd) S26011v (Db-Sl) - 2649k1 - (ksz. 25,24) 34k2 Ni-ig - 6121v(1Bd)  S26210e (Ni-Zn) - (ksz. 34)  IC603v - 6098e",6099e
4Bd,31522,IC604e - 6121k1,karb. - KM - T3 - 6254 - 6221v Db-ig,S26011 (Db-Sl) - 2649e - 6192 - 6195 - 6108 - 6121v,karb. - KM - T3 - 6254 - 6221v - Ni-t?l 6221k Db-ig,S26011e (Db-Sl) - 2649e - 6192 - 6195e,700e - Sg t?rol,"Sg IC er. (2Bd) 725er. - 716er. - 711er., (2Bd) 735er. - 726er. - 721er.",IC604e
2Bd,31525,karb. - KM - T3,karb. - KM - T3,6139k - karb. - KM - T3karb. - KM - T3,karb. - KM - T3 - S26114v (Db-Ni),6298v,Zn r?soroz - (ksz.24) IC619e - IC654v - IC586e,karb.,
2Bd,31526,6121k2,karb. - KM - T3,karb. - KM - T3,karb. - S26114k3 (Db-Ni),6195v - 6098e,karb. - KM - T3 - S26112k (Db-Ni),5119k1 - (ksz. 17) - IC582v - IC 656e - IC508v - 5158v,6121k2
1Bd,31539,6019k1 - (ksz. 24) 34k2 Ni-ig - 6121k,karb.,karb.,karb. - S26114e (Db-Ni),(ksz. 34) IC 605e - IC 606v Db-ig - IC 638v - 32421e - Mk ?tsoroz Mk ?tsz?moz (ksz. 17),32410v - (ksz.17)  IC639e - Db-t?l 619k - 654e - 586v,karb.,6019k1
2Bd,31541,6010 - 6822 - 6821 - N?-t?l 6821e - 6128k,6139v - karb. - KM - T3 - 6128v,6139e - karb. - KM - T3 - 6011,6010 - 6822 - 6821 - N?-t?l 6821e - 6128k,6139v - karb. - KM - T3 - 6128v,6119 - karb. - KM - T3 - 6011,6010 - 6822 - 6821 - N?-t?l 6821e - 6128k,6139v
2Bd,31542,6139v - karb. - KM - T3 - 6128v,6139e - karb. - KM - T3 - 6011,6010 - 6822 - 6821 - N?-t?l 6821e - 6128k,6139v - karb. - KM - T3 - 6128v,6139e - karb. - KM - T3 - 6011,6010 - 6822 - 6821 - N?-t?l 6821e,karb. - KM - T3 - 6128v,6139e
2Bd,31543,6139e - karb. - KM - T3 - 6011,6010 - 6822 - 6821 - N?-t?l 6821e - 6128k,6139v - karb. - KM - T3 - 6128v,6139e - karb. - KM - T3 - 6011,6010 - 6822 - 6821 - N?-t?l 6821e,karb. - KM - T3 - 6128v,6119 - karb. - KM - T3 - 6011,6010
2Bhv,Zn kishat?r,"32510v - 32519v - 32530 - 32539 - 32520 - 32529 - 32512v Csapig - 32517 - (Zn) 34vCsapig - Csapt?l 33v (Zn) - 32516 - 32513 - 32526 - 32523 - 32518 - 32511","32510v - 32519v - 32530 - 32539 - 32520 - 32529 - 32512v Csapig - 32517 - (Zn) 34vCsapig - Csapt?l 33v (Zn) - 32516 - 32513 - 32526 - 32523 - 32518 - 32511","32510v - 32519v - 32530 - 32539 - 32520 - 32529 - 32512v Csapig - 32517 - (Zn) 34vCsapig - Csapt?l 33v (Zn) - 32516 - 32513 - 32526 - 32523 - 32518 - 32511","32510v - 32519v - 32530 - 32539 - 32520 - 32529 - 32512v Csapig - 32517 - (Zn) 34vCsapig - Csapt?l 33v (Zn) - 32516 - 32513 - 32526 - 32523 - 32518 - 32511","32510v - 32519v - 32530 - 32539 - 32520 - 32529 - 32512v Csapig - 32517 - (Zn) 34vCsapig - Csapt?l 33v (Zn) - 32516 - 32513 - 32526 - 32523 - 32518 - 32511","32510v - 32519v - 32530 - 32539 - 32520 - 32529 - 32512v Csapig - 32517 - (Zn)34v Csapig - Csapt?l 33v (Zn) - 32516 - 32513 - 32526 - 32523 - 32518 - 32511","32510v - 32519v - 32530 - 32539 - 32520 - 32529 - 32512v Csapig - 32517 - (Zn) 34vCsapig - Csapt?l 33v (Zn) - 32516 - 32513 - 32526 - 32523 - 32518 - 32511",32510v
