11. Budapest Keleti - 2022.09.12-t?l,,,,,,,
?ssze?ll?t?s,Szerelv?nysz.,H?tf?,Kedd-Cs?t?rt?k,P?ntek,Szombat,Vas?rnap,H?tf?
"1 Bbdpmz (84-91), 1 Bmz (21-91.1)",1122,114 - 131v - 20238 - Karb.,20321 - 130e - 115,114 - 131v - 20238 - Karb.,20321 - 130e - 115,114 - 131v - 20238 - Karb.,20321 - 130e -...
"1 Bbdpmz (84-91), 1 Bmz (21-91.1)",1123,20321 - 130e - 115,114 - 131v - 20238 - Karb.,20321 - 130e - 115,114 - 131v - 20238 - Karb.,20321 - 130e - 115,114 - 131v - ...
"1 Bpmz (20-91.1) , 1 Bmz (21-91.3), 1 WRmz (88-91), 1 Apmz (10-91)",1124,131e - 20238 - Karb.,20321 - 130v,131e - 20238 - Karb.,20321 - 130v,131e - 20238 - Karb.,20321 - 130v
"1 Bpmz (20-91.1) , 1 Bmz (21-91.3), 1 WRmz (88-91), 1 Apmz (10-91)",1125,20321 - 130v,131e - 20238 - Karb.,20321 - 130v,131e - 20238 - Karb.,20321 - 130v,131e - 20238 - Karb.
"1 Amz (19-91.3) dekl!, 1 Bcmz (50-91.2), 1 WLABmz (71-91.1)",1126,Berlin - 457,477<3> - 20230 - Karb. - 20322 - 476<2> - 456,Berlin - 457,477<3> - 20230 - Karb. - 20322 - 476<2> - 456,Berlin - 457,477<3> - ...
"1 Amz (19-91.3) dekl!, 1 Bcmz (50-91.2), 1 WLABmz (71-91.1)",1127,477<3> - 20230 - Karb. - 20322 - 476<2> - 456,Berlin - 457,477<3> - 20230 - Karb. - 20322 - 476<2> - 456,Berlin - 457,477<3> - 20230 - Karb. - 20322 - 476<2> - 456,Berlin - 457
2 Bc (59-80),1128,477<1> - 20230 - Karb. - 20322 - 476<4>,477<1> - 20230- Karb. - 20322 - 476<4>,477<1> - 20230- Karb. - 20322 - 476<4>,477<1> - 20230- Karb. - 20322 - 476<4>,477<1> - 20230- Karb. - 20322 - 476<4>,477<1> - 20230- ...
"1 Amz (19-91.1), 2 Bpmz (20-91.4)",1129,463v - Karb. - 462e,463v - Karb. - 462e,463v - Karb. - 462e,463v - Karb. - 462e,463v - Karb. - 462e,463v - ...
"1 WLABmz (71-91.0), 1 Bcmz (50-91.1), 1 Bmz (21-91.3)",1130,463k - Karb. - 462k,M?nchen,463k - Karb. - 462k,M?nchen,463k - Karb. - 462k,M?nchen
"1 WLABmz (71-91.0), 1 Bcmz (50-91.1), 1 Bmz (21-91.3)",1131,M?nchen,463k - Karb. - 462k,M?nchen,463k - Karb. - 462k,M?nchen,463k - ...
"1 Bmz (21-91.3), 1 Bcmz (50-91.1), 1 WLABmz (71-91.1)",1132,463e - Karb. - 462v,466 - Z?rich - 467,463e - Karb. - 462v,466 - Z?rich - 467,463e - Karb. - 462v,466 -...
"1 Bmz (21-91.3), 1 Bcmz (50-91.1), 1 WLABmz (71-91.1)",1133,466 - Z?rich - 467,463e - Karb. - 462v,466 - Z?rich - 467,463e - Karb. - 462v,466 - Z?rich - 467,463e - ...
1 Bmz (21-91),1150,23616k - 3669k - 7402v - 747e - 746v - 741e - 7408v,7407ee - Karb. - 23612v,3629e - 7400v - 7407e - 7404v - 743e - 748v - 7548v,759e - 742v - 745e - 7406v - 7401e,7402v - 747e - 746v - 741k - 7408v,7407ee - Karb.
1 Bmz (21-91),1151,7407ee - Karb. - 23612v,3629e - 7400v - 7407e - 7404v - 743e - 748v - 7548v,759e - 742v - 745e - 7406v - 7401e,7402v - 747e - 746v - 741e - 7408v,7407ee - Karb. - 23612v,3629e - 7400v - ...
1 Bmz (21-91),1152,3629e - 7400v - 7407e - 7404v - 743e - 748v - 7548v,759e - 742v - 745e - 7406v - 7401e,23616k - 3669k - 7402v - 747e - 746v - 741e - 7408v,7407ee - Karb.,7400v - 7407e - 7404v - 743e - 748v - 7548v,759e - ...
1 Bmz (21-91),1153,759e - 742v - 745e - 7406v - 7401e,23616k - 3669k - 7402v - 747e - 746v - 741e - 7408v,7407ee - Karb.,7400v - 7407e - 7404v - 743e - 748v - 7548v,759e - 742v - 745e - 7406v - 7401e,23616k - ...
"2 Bpmz (20-71), 1 Bbdpmz (84-91)",1154,3649e - 560e - 658v - 23610v,3649e - 560e - 658v - 23610v,3649e - 560k - 658k,560e - 658v,560k - 658k - 23610v,3649e - ...
"1 ARmz (85-91), 1 Amz (19-91.3)",1155,560v - 658e,560v - 658e,560v - 658e,560v - 658e,560v - 658e,560v - 658e
1 Amz (19-91) dekl!,1157,829e - 824v - 823e - 23610k,3649k - 822v - 825e - 826v,829e - 824v - 823e,822v - 825e - 826v,829e - 824v - 823e - 23610k,3649k - ...
1 Amz (19-91) dekl!,1158,3649k - 822v - 825e - 826v,829e - 824v - 823e - 23610k,3649k - 822v - 825e - 826v,829e - 824v - 823e,822v - 825e - 826v,829e - ...
1 Ddmee (94-91),1165,Tartal?k (B) - 20431 - Karb.,20340 - Tartal?k (B),9702e,9703v,Tartal?k (B),
