Összeállítás,Fordasor,H (Hétfő),K (Kedd),Sze (Szerda),Cs (Csütörtök),P (Péntek),Szo (Szombat),V (Vasárnap),Mire fordul
3 Bhv (2005.6),31411,6220 - 6227 - 6214 - 6223 - 6013 - 6018 - 6128,6220 - 6227 - 6214 - 6223 - 6013 - 6018 - 6128,6220 - 6227 - 6214 - 6223 - 6013 - 6018 - 6128,6220 - 6227 - 6214 - 6223 - 6013 - 6018 - 6128(2/2),6220 - 6227 - 6214 - 6223 - 6013 - 6018 - 6128,6119(2/1) - 6284(2/2)(ZN) - 6237 - 6125,(DB)Karb - 6128,6220
"1 BDt (8005.4), 3 Bhv (2005.6)",31511,6259 - (DB)Karb - 6015 - 6236 - 6221,6130 - 6212 - 6215 - 6234 - 6243(2/1),6222 - 6225 - 6226 - 6211 - 6118,6210 - 6217 - 6232 - 6235 - 6256,6249 - 6117 - (DB)Karb - 6216 - 6243 - 6228,(ZN)Fordaközi tartalék,6213 - 6228(2/1),6229
"1 BDt (8005.4), 3 Bhv (2005.6)",31512,6130 - 6212 - 6215 - 6234 - 6243(2/1),6222 - 6225 - 6226 - 6211 - 6118,6210 - 6217 - 6232 - 6235 - 6256,6249 - 6117 - (DB)Karb - 6216 - 6243(2/2) - 6228(2/2),6219 - 6240 - 6247 - 6224 - 6233,6240 - 6247 - 6224,6239 - 6124 - 6236 - 6221 - 26019,6120
"1 BDt (8005.4), 3 Bhv (2005.6)",31513,6222 - 6225 - 6226 - 6211 - 6118,6210 - 6217 - 6232 - 6235 - 6256,6249 - 6117 - (DB)Karb - 6216 - 6243(2/2) - 6228,6219 - 6240 - 6247 - 6224 - 6233 - 6218,6229 - 6017 - 6012 - (DB)Karb - 6276,(ZN)Fordaközi tartalék,(ZN)Fordaközi tartalék,6249
"1 BDt (8005.4), 3 Bhv (2005.6)",31514,6210 - 6217 - 6232 - 6235 - 6256,6249 - 6117 - (DB)Karb - 6216 - 6243(2/2) - 6228,6219 - 6240 - 6247 - 6224 - 6233 - 6218,6229 - 6017 - 6012 - (DB)Karb - 6276,6239 - (DB)Külső m - 6242 - 6213 - 26022,(DB)Karb - 6124,(3Bhv) 519(3/3) - 566(3/1) - 628(3/3),6222
"",,,,,,,,(1BDt) (NI)Fordaközi tartalék,
"1 BDt (8005.4), 3 Bhv (2005.6)",31515,6249 - 6117 - (DB)Karb - 6216 - 6243(2/2) - 6228,6219 - 6240 - 6247 - 6224 - 6233 - 6218,6229 - 6017 - 6012 - (DB)Karb - 6276,6239 - (DB)Külső m - 6242 - 6213,6120 - 6115,(DB)Karb - 6266(2/1),6249 - 6111(2/2),6130
"1 BDt (8005.4), 3 Bhv (2005.6)",31516,6219 - 6240 - 6247 - 6224 - 6233 - 6218,6229 - 6017 - 6012 - (DB)Karb - 6276,6239 - (DB)Külső m - 6242 - 6213,6120 - 6115 - 6124 - 6135 - 6266,6259 - (DB)Karb - 6015 - 6236 - 6221,6150 - 6111(3/3),22611 - 6140 - 6212 - 6233 - 6218,6239
"1 BDt (8005.4), 3 Bhv (2005.6)",31517,6229 - 6017 - 6012 - (DB)Karb - 6276,6239 - (DB)Külső m - 6242 - 6213,6120 - 6115 - 6124 - 6135 - 6266,6259 - (DB)Karb - 6015 - 6236 - 6221(NI) - (NI)6221(2/1),6130 - 6212 - 6215 - 6234 - 6231(2/2)(NI) - (NI)6231(4/2),(DB)Karb - 6128,6216 - 6243 - 6228(2/2),6219
"1 BDt (8005.4), 3 Bhv (2005.6)",31518,6239 - (DB)Külső m - 6242 - 6213,6120 - 6115 - 6124 - 6135 - 6266,6259 - (DB)Karb - 6015 - 6236 - 6221,6130 - 6212 - 6215 - 6234 - 6243(2/1),6222 - 6225 - 6226 - 6211,(DB)Karb,6226 - 6211 - 6118,6210
"1 BDt (8005.4), 3 Bhv (2005.6)",31519,6120 - 6115 - 6124 - 6135 - 6266,6259 - (DB)Karb - 6015 - 6236 - 6221,6130 - 6212 - 6215 - 6234 - 6243(2/1),6222 - 6225 - 6226 - 6211 - 6118,6210 - 6217 - 6232 - 6235 - 6256,6229 - 6242,6219 - 6220 - 6227 - 6266,6259
2 Bhv (2005.6),32521,6019(3/1) - 34(3/3)(NI) - (NI)6231(2/2),6019(3/1) - 34(3/3)(NI) - (NI)6231(2/2),6019(3/1) - 34(3/3)(NI) - (NI)6231(2/2),6019(3/1) - 34(3/3)(NI) - (NI)6231(3/2),6019(4/1) - 34(4/4)(NI) - (NI)6231(4/3),6019(5/2) - 34(5/4)(NI) - (NI)6231(5/3),6019(5/1) - 34(5/5)(NI) - (NI)6231(3/2),6019(3/1)
2 Bhv (2005.6),0001,"(ZN)149 - 140(ZN) - 6280 - 6281 - 6282 - 6283 - (ZN)6284(2/2) -6285 - (ZN)34(2/2) - 33(2/2)(ZN) - 6286 - 6287 - 6288 - 6289 -6290 - 6291","(ZN)149 - 140(ZN) - 6280 - 6281 - 6282 - 6283 - (ZN)6284(2/2) -6285 - (ZN)34(2/2) - 33(2/2)(ZN) - 6286 - 6287 - 6288 - 6289 -6290 - 6291","(ZN)149 - 140(ZN) - 6280 - 6281 - 6282 - 6283 - (ZN)6284(2/2) -6285 - (ZN)34(2/2) - 33(2/2)(ZN) - 6286 - 6287 - 6288 - 6289 -6290 - 6291","(ZN)149 - 140(ZN) - 6280 - 6281 - 6282 - 6283 - (ZN)6284(2/2) -6285 - (ZN)34(2/2) - 33(2/2)(ZN) - 6286 - 6287 - 6288 - 6289 -6290 - 6291","(ZN)149 - 140(ZN) - 6280 - 6281 - 6282 - 6283 - (ZN)6284(2/2) -6285 - (ZN)34(2/2) - 33(2/2)(ZN) - 6286 - 6287 - 6288 - 6289 -6290 - 6291","(ZN)149 - 140(ZN) - 6280 - 6281 - 6282 - 6283 - (ZN)6284(2/2) -6285 - (ZN)34(2/2) - 33(2/2)(ZN) - 6286 - 6287 - 6288 - 6289 -6290 - 6291","(ZN)149 - 140(ZN) - 6280 - 6281 - 6282 - 6283 - 603(5/5)(NI) -(NI)603(7/7) - 6088(7/1)",(DB)Karb
2 Bhv (2005.6),0002,(DB)Karb,(DB)Karb,(DB)Karb,(DB)Karb,(DB)Karb,6019(5/1) - 34(5/5)(NI) - (NI)6231(5/2),"6284(3/3)(ZN) - (ZN)6284(2/2) - 6285 - (ZN)34(2/2) -33(2/2)(ZN) - 6286 - 6287 - 6288 - 6289 - 6290 - 6291",(DB)Karb
3 B (2030),31531,"6119(3/2) - 6284(2/2)(ZN) - 6237 - 6125 - 6246 - 6231(NI) -(NI)6231(2/1)",(DB)Karb,6029(2/2) - 6106(2/1),"6119(2/1) - 6284(2/2)(ZN) - 6237 - 6125 - 6246 - 6231(NI) -(NI)6231(3/1)",(2Bd) 6029(3/2) - 652(2/1) - 568(2/2)(NI),26111(2/2) - 6246 - 6231(NI) - (NI)6231(5/1),6029(3/3) - 6106(2/1),6119(3/2)
"",,,,,,(1Bd) (DB)Karb,,,
3 B (2030),31532,6119(3/1) - (DB)Karb,6029(2/2) - 6106(2/1),"6119(2/1) - 6284(2/2)(ZN) - 6237 - 6125 - 6246 - 6231(NI) -(NI)6231(2/1)",(DB)Karb,6029(3/3) - 588(3/1),5110(3/2),6119(2/2) - 6284(3/1)(ZN) - 6231(NI) - (NI)6231(3/1),6029(2/2)
3 B (2030),31533,6029(2/2) - 6106(2/1),"6119(2/1) - 6284(2/2)(ZN) - 6237 - 6125 - 6246 - 6231(NI) -(NI)6231(2/1)",(DB)Karb,6029(2/2) - 6106(2/1),"6119(2/1) - 6284(2/2)(ZN) - 6237 - 6125 - 6246 - 6231(2/1)(NI)- (NI)6231(4/1)",(DB)Karb,(2Bd) 6029(3/2) - 6106(2/2),(2Bd)6119(3/1)
"",,,,,,,,(2Bd) (DB)Karb,(1Bd) (DB)Karb
2 Bd (2930),31541,404(PL) - 6010 - 6822 - 6821(NR) - (NR)6821(2/1),"6812(3/1)(NR) - (NR)6812 - 4334 - 364 - 365 - 4341 - 6811(NR)(NR)6811(2/1)",(DB)Karb - 6021,369 - 368,(PL)405,404(PL) - 6010 - 6822 - 6821,6812(2/1)(NR) - (NR)6812 - 4334 - 364 - 365 - 4341 - 6811,(DB)Karb - 6021
2 Bd (2930),31542,"6812(3/1)(NR) - (NR)6812 - 4334 - 364 - 365 - 4341 - 6811(NR)(NR)6811(2/1)",(DB)Karb - 6021,369 - 368,(PL)405,404(PL) - 6010 - 6822 - 6821(NR) - (NR)6821(2/1),6812(2/1)(NR) - (NR)6812 - 4334 - 364 - 365 - 4341 - 6811,(DB)Karb - 6021,369 - 368
2 Bd (2930),31543,(DB)Karb - 6021,369 - 368,(PL)405,404(PL) - 6010 - 6822 - 6821(NR) - (NR)6821(2/1),"6812(3/1)(NR) - (NR)6812 - 4334 - 364 - 365 - 4341 - 6811(NR)(NR)6811(2/1)",(DB)Karb - 6021,369 - 368,(PL)405
2 Bd (2930),31544,369 - 368,(PL)405,404(PL) - 6010 - 6822 - 6821(NR) - (NR)6821(2/1),"6812(3/1)(NR) - (NR)6812 - 4334 - 364 - 365 - 4341 - 6811(NR)(NR)6811(2/1)",(DB)Karb - 6021,369 - 368,(PL)405,404(PL)
2 Bd (2930),31545,(PL)405,404(PL) - 6010 - 6822 - 6821(NR) - (NR)6821(2/1),"6812(3/1)(NR) - (NR)6812 - 4334 - 364 - 365 - 4341 - 6811(NR)(NR)6811(2/1)",(DB)Karb - 6021,369 - 368,(PL)405,404(PL) - 6010 - 6822 - 6821,6812(3/1)
1 A (1930),0001,(DB)Karb,(DB)Karb,(DB)Karb,(DB)Karb - 6128(2/1),605(4/1) - 606(6/6)(DB) - 638(2/2) - 32421(2/1),32410(3/2) - 639(2/1) - (DB)619(3/2) - 654(2/1) - 586(3/3)(NI),26210(4/1) - 603(5/4)(NI) - (NI)603(7/6) - 6088(7/2),(DB)Karb
1 A (1930),0001,(DB)Karb,(DB)Karb,(DB)Karb,(DB)Karb,(DB)Karb,(DB)Karb - 6266(2/2),"619(2/2)(DB) - (DB)619(3/2) - 654(2/1) - 586(2/2)(NI) -(NI)6231(3/3)",(DB)Karb
