?ssze?ll?t?s,Szerelv?nysz.,H?tf?,Kedd-Cs?t?rt?k,P?ntek,Szombat,Vas?rnap,H?tf?
1 Bzmot,5351-,38719 - 38712 - 38713 - 38726 - 38711 - ?V,38610 - 38619 - 38620 - 38617 - Karb. - 38616 - 38613 - 38618 - 38611 - ?V,28011e  - 8330e - ?V - 8325 - 8316e - 8333e - 8313e,Tartal?k (Sd),Tartal?k (Sd),8310e - ...
1 Bzmot,-52-,38610 - 38619 - 38620 - 38617 - Karb. - 38616 - 38613 - 38618 - 38611 - ?V,28011e  - 8330e - ?V - 8325 - 8316e - 8333e - 8313e,"8310e - 8327e - 28313e  - 34715e - ?V - 34716e - 34713e - 34726e -34711e - 34718","34719 - 34710 - 34717 - 34712 - 34715 - ?V - 34716 - 34713 - 34726 -34711 - 34718","34719 - 34710 - 34717 - 34712 - 34715 - ?V - 34716 - 34713 - 34726 -34711 - 34718e",34719e - ...
1 Bzmot,-53-,28011e  - 8330e - ?V - 8325 - 8316e - 8333e - 8313e,"8310e - 8327e - 28313e  - 34715e - ?V - 34716e - 34713e - 34726e -34711e - 34718e",34719e - 34710e - 34717e - 34712e - 28310e  - 8354 - 8315 - 8326 - 8336 - ?V,18319 - 8330,18319 - 8330,38717e - ...
1 Bzmot,-54-,"8310e - 8327e - 28313e  - 34715e - ?V - 34716e - 34713e - 34726e -34711e - 34718e",34719e - 34710e - 34717e - 34712e - 28310e  - 8354 - 8315 - 8326 - 8336 - ?V,38717e - 38612 - 38615 - 38716 - 38723 - 38718 - 28323  - ?V,38757 - 38612 - 38615 - ?V - 38716 - 38723 - 38718,38757 - 38612 - 38615 - ?V - 38716 - 38723 - 38718 - 28323  - ?V,38719 - ...
1 Bzmot,-55-,34719e - 34710e - 34717e - 34712e - 28310e  - 8354 - 8315 - 8326 - 8336 - ?V,38717e - 38612 - 38615 - 38716 - 38723 - 38718 - 28323  - ?V,38719 - 38712 - 38713 - 38726 - 38711 - ?V,38712 - 38727 - 38714 - 38713 - 38726 - 38711 - ?V,38712 - 38727 - 38714 - 38713 - 38726 - 38711 - ?V,38610 - ...
1 Bzmot,-5356,38717e - 38612 - 38615 - 38716 - 38723 - 38718 - 28323  - ?V,38719 - 38712 - 38713 - 38726 - 38711 - ?V,38610 - 38619 - 38620 - 38617 - Karb. - 38616 - 38613 - 38658 - 38651 - 38618 - 38611 - ?V,38610 - 38619 - 38620 - 38617 - 38616 - 38613 - 38618 - 38611 - ?V,38610 - 38619 - 38620 - 38617 - 38616 - 38613 - 38658 - 38651 - 38618 - 38611 - ?V,28011e  - 8330e - ...
1 Bzx,5361-,8330v - Tartal?k (Bz),38717v - Karbantart?s,28011v  - 8310v - 8327v - 28313v  - 34715v - 34716v - 34713v - 34726v - 34711v,Tartal?k (Dp),Tartal?k (Dp) - 34718v,34719v - ...
1 Bzx,-62-,38717v - Karbantart?s,"28011v  - 8310v - 8327v - 28313v  - 34715v - 34716v - 34713v - 34726v -34711v - 34718v",34719v - 34710v - 34717v - 34712v - 28310v  - 8316v - 8333v - 8313v,Tartal?k (Sd),Tartal?k (Sd),8330v - ...
1 Bzx,-63-,"28011v  - 8310v - 8327v - 28313v  - 34715v - 34716v - 34713v - 34726v -34711v - 34718v",34719v - 34710v - 34717v - 34712v - 28310v  - 8316v - 8333v - 8313v,8330v - Tartal?k (Bz),Tartal?k (Bz),Tartal?k (Bz),38717v - ...
1 Bzx,-5364,34719v - 34710v - 34717v - 34712v - 28310v  - 8316v - 8333v - 8313v,8330v - Tartal?k (Bz),38717v - Karbantart?s,Tartal?k (Ud),Tartal?k (Ud),28011v  - 8310v - ...
