Összeállítás,Szerelvénysz.,Hétfő,Kedd-Csütörtök,Péntek,Szombat,Vasárnap,Hétfő
1 ABDpmot,-65-,8997 - 8994 - 8901 - ÜV,8902 - 8995 - 8996 - ÜV,9602 - 9695 - ÜV - 18808 - 28515 - 28721v,Karbantartás,28720v - 28811 - 9690 - 9605 - 9608 - ÜV,9219 - ...
1 ABDpmot,-66-,8902 - 8995 - 8996 - ÜV,9602 - 9695 - ÜV - 18808 - 28515 - 28721v,34117 - 34122 - ÜV - Karbantartás,28720v - 28811 - 9690 - 9605 - 9608 - ÜV,9219 - 9697 - 9606 - 9601 - 9648 - ÜV,9639 - ...
1 ABDpmot,-67-,9602 - 9695 - ÜV - 18808 - 28515 - 28721v,34117 - 34122 - ÜV - Karbantartás,28720e - 8839v - 9690 - 9605 - 9608 - ÜV,9219 - 9697 - 9606 - 9601 - 9648 - ÜV,9639 - 9600 - 9607 - 9696 - 9238 - ÜV,9609 - ...
1 ABDpmot,-68-,34117 - 34122 - ÜV - Karbantartás,28720e - 8839v - 9690 - 9605 - 9608 - ÜV,9219 - 19697 - 19696 - 9238 - ÜV,9609 - 9694 - 9693 - ÜV - 8848 - 28721e,Karbantartás - 8392 - 8305 - 8306 - 8393 - 8398 - ÜV,28322e - 8309 - ...
1 ABDpmot,-69-,28720e - 8839v - 9690 - 9605 - 9608 - ÜV,9219 - 9697 - 9606 - 9601 - 9648 - ÜV,9639 - 9600 - 9607 - 9606 - 9601 - 9648 - ÜV,9639 - 9600 - 9607 - 9696 - 9238 - ÜV,9609 - 9694 - 19693 - ÜV,8959 - ...
1 ABDpmot,-70-,9219 - 9697 - 9606 - 9601 - 9648 - ÜV,9639 - 9600 - 9607 - 9696 - 9238 - ÜV,9609 - 9694 - 9693 - ÜV - 8848 - 28721e,Karbantartás - 18302 - 8397 - 8394 - 8303 - 8308 - 8311 - ÜV,28324e - 8307 - 8394v - 8303 - 8308 - 8311 - ÜV,28322v - 8319 - ...
1 ABDpmot,-71-,9639 - 9600 - 9607 - 9696 - 9238 - ÜV,9609 - 9694 - 9693 - ÜV - 8848 - 28721e,Karbantartás - 38410 - 8302 - 8397 - 8394 - 8303 - 8308 - 8311 - ÜV,28322e - 8309 - 8392 - 8305 - 8398 - ÜV,28324v - 8309 - 8394e - Ex 1833 - 4558,8300 - ...
1 ABDpmot,-72-,9609 - 9694 - 9693 - ÜV - 8848 - 28721e,Karbantartás - 38410 - 8302 - 8397 - 8394 - 8303 - 8308 - 8311 - ÜV,28322e - 8309 - 8392 - 8305 - 34113 - 34126 - 34133 - 34146 - 8398 - ÜV,28322v - 8319 - 8320 - 8307 - 8304 - 8395 - 8396 - 8301 - ÜV,Karbantartás - 8304 - 8395 - 8396 - 8301 - ÜV - 34121,34110 - ...
1 ABDpmot,-73-,Karbantartás - 38410 - 8302 - 8397 - 8394 - 8303 - 8308 - 8311 - ÜV,28322e - 8309 - 8392 - 8305 - 34113 - 34126 - 34133 - 34146 - 8398 - ÜV,28322v - 8319 - 8320 - 8307 - 8304 - 8395 - 8396 - 8301 - ÜV,Karbantartás - 8306 - 8393 - ÜV,"34119 - 34112 - 34127 - 34132 - 34137 - 34114 - 34115 - 34124 -34125 - 34116 - 34123 - 34136 - 34143 - 34118 - 34111 - 34128 - ÜV",28720v - 8839e - ...
1 ABDpmot,-1574,28322e - 8309 - 8392 - 8305 - 34113 - 34126 - 34133 - 34146 - 8398 - ÜV,28322v - 8319 - 8320 - 8307 - 8304 - 8395 - 8396 - 8301 - ÜV,8300 - 8399 - ÜV - Karbantartás - 8306 - 8393 - ÜV - 34121,"34110 - 34119 - 34112 - 34127 - 34132 - 34137 - 34114 - 34115 - 34124 -34125 - 34116 - 34123 - 34136 - 34143 - 34118 - 34111 - 34128 - ÜV",28720e - 8849 - 38342 - 38347 - 9604 - 9603 - ÜV,8907 - ...
