Összeállítás,Szerelvénysz.,Hétfő,Kedd-Csütörtök,Péntek,Szombat,Vasárnap,Hétfő
3 Bp,GySEV,1959 - Ak - 1900 - 1905 - Ak - 1954 - 1953 - Ak - 1906 - 9041 - 9528,1959 - Ak - 1900 - 1905 - Ak - 1954 - 1953 - Ak - 1906 - 9041 - 9528,1959 - Ak - 1900 - 1905 - Ak - 1954 - 1953 - Ak - 1906 - 9041 - 9528,1959 - Ak - 1900 - 1905 - Ak - 1954 - 1953 - Ak - 1906 - 9041 - 9528,1959 - Ak - 1900 - 1905 - Ak - 1954 - 1953 - Ak - 1906 - 9041 - 9528,1959 - ...
"3B, 1Bdszlovén",SZ,IC247 - Ak - 19006  - 1901  - Ak - 1958,9519 Sm leforgat!  - 1907   - Ak - IC246,IC247 - Ak - 19006  - 1901  - Ak - 1958,9519 Sm leforgat!  - 1907   - Ak - IC246,IC247 - Ak - 19006  - 1901  - Ak - 1958,9519Sm leforgat!  -  ...
"",SZ,9519   Sm leforgat!  - 1907   - Ak - IC246,IC247 - Ak - 19006  - 1901  - Ak - 1958,9519   Sm leforgat!  - 1907   - Ak - IC246,IC247 - Ak - 19006  - 1901  - Ak - 1958,9519   Sm leforgat!  - 1907   - Ak - IC246,IC247 -...
3By[140 km/h!],6131,IC912<4> - Tartalék (Sm),Tartalék (Sm),Tartalék (Sm),Tartalék (Sm),19203v- Gv - 19203e,IC912<4> - Tartalék
2By[140 km/h!],6132,IC912<3> - Tartalék (Sm),Tartalék (Sm),Tartalék (Sm),Tartalék (Sm),19203e - Gv - 19203v,IC912<3> - Tartalék
3 By(21-55),6134-,Karbantartás,19607e - 14989  - Külső mosás - 18521v,"IC900e - Vp - IC959v - IC904e - Vp - IC967v - IC9006k - Vp - IC247k - IC908k -Vp - IC963k","IC952k - Vp - IC909k - IC954k - Vp - IC905k- IC956k - Vp - IC9003k - IC958k -Vp - IC901k","IC900k - Vp - IC959k - IC904k- Vp - IC967k - IC9006k - Vp - IC247k - IC908k -Vp - IC963k  - 968e",9059v - ...
"",-35-,19607e - 14989  - Külső mosás - 18521v,"IC900e - Vp - IC959v - IC904e - Vp - IC967v - IC9006e - Vp - IC247v - IC908e -Vp - IC963v - 968e","9059v - IC902e - Vp -  IC957v - IC9004k - Vp -  IC955k - IC 906k - Vp - IC953k -9008k - Vp - IC951k","IC900k - Vp - IC959k - IC904k - Vp - IC967k - IC9006k - Vp - IC247k - IC908k -Vp - IC963k","IC902k - Vp -  IC957k - IC9004k - Vp -  IC955k - IC 906k - Vp - IC953k - 9008k -Vp -IC951k",IC 950e - ...
"",-36-,"IC900e - Vp - IC959v - IC904e - Vp - IC967v - IC9006e - Vp - IC247v - IC908e -Vp - IC963v - 968e","9059v - IC902e - Vp -  IC957v - IC9004e - Vp -  IC955v - IC 906e - Vp - IC953v -9008e - Vp - IC951v","IC950e - Vp - 969v - IC246e  - Vp - IC907v - IC964k - Vp - IC9005k - IC966k  -Vp - IC903k- 9068k - Vp - 9061k",IC902k- Vp -  IC957k - IC9004k - Vp -  IC955k - IC 906k - Vp - IC953k - 9008k,"969k - IC246k - Vp - IC907k - IC964k -Vp - IC9005k - IC966k - Vp  - IC903k -9068k - Vp - 9061k",IC952e - ...
"",-37-,"9059v - IC902e - Vp -  IC957v - IC9004e - Vp -  IC955v - IC 906e - Vp - IC953v -9008e - Vp - IC951v","IC950e - Vp - 969v - IC246e  - Vp - IC907v - IC964e - Vp - IC9005v - IC966e  -Vp - IC903v - 9068e - Vp - 9061v","IC952e - Vp - IC909v - IC954e - Vp - IC905v - IC956k - Vp - IC9003k - IC958k -Vp -  IC901k",18520e - 18521v,18520e - 18521v,18520e - ...
"",-38-,"IC950e - Vp - 969v - IC246e  - Vp - IC907v - IC964e - Vp - IC9005v - IC966e  -Vp - IC903v - 9068e - Vp - 9061v","IC952e - Vp - IC909v - IC954e - Vp - IC905v - IC956e - Vp - IC9003v - IC958e -Vp -  IC901v",18520e - 14899  - 19606v,Tartalék (Sm),Tartalék (Sm),Karbantartás - ...
"",-39-,"IC952e - Vp - IC909v - IC954e - Vp - IC905v - IC956e - Vp - IC9003v - IC958e -Vp -  IC901v",18520e - 14899  - 19606v,Karbantartás,Tartalék (Sm),Tartalék (Sm),19607e - ...
"",-40-,18520e - 14899  - 19606v,Karbantartás,19607e - 14989  - Külső mosás - 18521v,"IC950k - Vp - 969k - IC246k - Vp - IC907k- IC964k -Vp - IC9005k - IC966k - Vp  -IC903k - 9068k - Vp - 9061k","IC952k - Vp - IC909k - IC954k - Vp - IC905k - IC956k - Vp - IC9003k - IC958k -Vp - IC901k",IC 900e - ...
1 Bdbh,6141,19607v - Kl Lesoroz! - Tárol (Kl) - Kl rásoroz! 19606e,19607v - Kl Lesoroz! - Tárol (Kl) - Kl rásoroz! 19606e,19607v - Kl Lesoroz! - Tárol (Kl) - Kl rásoroz! 19606e,Tartalék (Sm),Tartalék (Sm),19607v - ...
2By(21-55),6142-,9019 - Ak - 9010 - 9015v Ce-ig! - 9054 - 9043 - 9516 - 9511 - 9038,9037eLezárva! - 29017(Ce-Ak) - Ak-tól! 9012 - 9025 - Ak -  9016 - 9051e,9052 - 9047e - 9514 - 9513 - 9526 - 9521e,9040 - Tartalék (Sm) - 9021vLezárva! Ce-ig! - 9048,19019 - Ak - 19010 - 9015v Ce-ig! - 9054 - 9053 - 9526 - 9521e,9040 - ...
"",-43-,9037eLezárva! - 29017(Ce-Ak) - Ak-tól! 9012 - 9025 - Ak -  9016 - 9051e,9052 - 9047e - 9514 - 9513 - 9526 - 9521e,9040 -  9053 - 9046 - 9021 Ak-ig!,9020  - 9032 - Tartalék (Sm)/Karbantartás/Külső mosás,9039  - 9514 - 9513 - 9046 - 9021<1> - Ce -  9021eAk-ig!,9020v - 9032v - ...
"",-44-,9052 - 9047e - 9514 - 9513 - 9526 - 9521e,9040 -  9053 - 9046 - 9021eAk-ig!,9020v - 9032v - Tartalék (Sm)/Karbantartás/Külső mosás,9037 - 9062  - 9015e Ce-ig! - 9015 -Ak- 9024 - 9023 -Ak- 19008,19009 - 9010e - Tartalék (Sm) - 9021<3> Lezárva! Ce-ig! - 9048,9019 - ...
"",-45-,9040 -  9053 - 9046 - 9021eAk-ig!,9020v - 9032v - Tartalék (Sm)/Karbantartás/Külső mosás,9037v- 9062 -9015e Ce-ig! - 9015 -Ak- 9024 - 9023 -Ak- 908v - 9051,9030 - 9039  - 9514 - 9513 - 9046 - 9021e - Ce -  9021 Ak-ig!,9020 - 9032  - Tartalék (Sm)/Karbantartás/Külső mosás,9037v - ...
"",- 46-,9020v - 9032v - Tartalék (Sm)/Karbantartás/Külső mosás,9037v- 9062 -9015e Ce-ig! - 9015 -Ak- 9024 - 9023 -Ak- 908v - 9051v,9030 - 9039  - 9042 - 9031,29017( Ce-Ak) - Ak-tól! 9012 - 9025 - Ak -  9016 - 9051,9040e -9037v -  9062 -9015e Ce-ig! - 9015 -Ak- 9024 - 9023 -Ak- 908v - 9051v,9030 - ...
"",-47 -,9037v- 9062 -9015e Ce-ig! - 9015 -Ak- 9024 -  9023 -Ak- 908v - 9051v,9030 - 9039  - 9042 - 9031 - 9048,9019 - Ak - 9010 - 9015v Ce-ig! - 9054 - 9043 - 9516 - 9511 - 9038,19019 - Ak - 19010 - 9015v Ce-ig! - 9054 - 9053 - 9526 - 9521e,9040v - Tartalék (Sm),9037e - ...
"",6148,9030 - 9039 - 9042 - 9031 - 9048,9019 - Ak - 9010 - 9015v Ce-ig! - 9054 - 9043 - 9516 - 9511 - 9038,9037eLezárva! - 29017(Ce-Ak) - Ak-tól! 9012 - 9025 - Ak -  9016 - 9051e,Tartalék (Sm),9037eLezárva! - 29017(Ce-Ak) - Ak-tól! 9012 - 9025 - Ak -  9016 - 9051e,9052 - ...
"1D, 2Bpmee, 1By",6149-,19699 - 19622 - 19775 - 19725 - 19716 - 19711,19712 - 19715 - 19724 - 19723 - 19718 - 19791,19720 - 19727 - 19714 - 19713 - 19726 - 19721,19722v - 19725e - 19716 - 19711,19712 - 19715 - 19724v - 19723e - 19718 - 19791,24510(B-Sv) - 19720 - ...
"",- 50-,19712 - 19715 - 19724 - 19723 - 19718 - 19791,19720 - 19727 - 19714 - 19713 - 19726 - 19721,19722 - 19784 - 19613 - 19608,Tartalék (Sm),Tartalék (Sm),Karbantartás
"",- 51 -,24510(B-Sv) - 19720 - 19727 - 19714 - 19713 - 19726 - 19721,19722 - 19784 - 19613 - 19608,Karbantartás/Külső mosás,19699 - 19622 - 19775 - 19784 - 19613 - 19608,19699 - 19622 - 19775 - 19784 - 19613 - 19608,19699 - ...
"",- 52-,19722 - 19784 - 19613 - 19608,Karbantartás/Külső mosás,19699 - 19622 - 19775 - 19725 - 19716 - 19711,19712 - 19715 - 19724  - 19723 - 19718 - 19791,24510(B-Sv) - 19720 - 19727 - 19714 - 19713 - 19726 - 19721,19722 - ...
"",- 6153,Karbantartás/Külső mosás,19699 - 19622 - 19775 - 19725 - 19716 - 19711,19712 - 19715 - 19724 - 19723 - 19718 - 19791,19720 - 19727 - 19714 - 19713 - 19726 - 19721,19722 - 19725 - 19716v - 19711e,19712 - ...
1 By,6161,9020e - 9032e - Tartalék (Sm)/Karbantartás/Külső mosás  - 9021vAk-ig!,9020e - 9032e - Tartalék (Sm)/Karbantartás/Külső mosás  - 9021vAk-ig!,9020e - 9032e,Tartalék (Sm),Tartalék (Sm)  - 9021<2> - Ce - 9021vAk-ig!,9020e - 9032e - ...
11 By Erzsébet tábor,6164,Tartalék (Sm),Tartalék (Sm),14997(Sm-Zk) - 13961,Tartalék (Ni),13690 - 14996(Zk-Sm),Tartalék (Sm)
