Összeállítás,Szerelvénysz.,Hétfő,Kedd-Csütörtök,Péntek,Szombat,Vasárnap,Hétfő
1 Bzx,6325,9210v - 9227v - 9214v - 9221v,9210v - 9227v - 9214v - 9221v,9210v - 9227v - 9214v - 9221v,9210v - 9227v - 9214v - 9221v,9210v - 9227v - 9214v - 9221v,9210v - ...
1 BDzx (Dacia),6326,39512e - Ir - 39517v - szükség esetén karbantartás Győr -  39516e - Ir - 39513v,39512e - Ir - 39517v - szükség esetén karbantartás Győr -  39516e - Ir - 39513v,39512e - Ir - 39517v - szükség esetén karbantartás Győr -  39516e - Ir - 39513v,39512e - Ir - 39517<3> - 39514e - Ir - 39515v - 39516e - Ir - 39513v,39512e - Ir - 39517<3> - 39514e - Ir - 39515v - 39516e - Ir - 39513v,39512e - ...
2 Bzx (Dacia),6327,39512v - Ir - 39517e - 39516v - Ir - 39513e - 39548,39569  - 39552 - 39555  - Karbantartás Győr,39512v - Ir - 39517e - 39516v - Ir - 39513e - 39548,39569,39512v - Ir - 39517<2> - 39516v - Ir - 39513e - 39548,39569 - ...
"",6328,39569  - 39552 - 39555  - Karbantartás Győr,39512v - Ir - 39517e - 39516v - Ir - 39513e - 39548,39569  - 39552 - 39555  - Karbantartás Győr,39512v - Ir - 39517<2> - 39516v - Ir - 39513e - 39548,39549,39512v - ...
"",6329,Tartalék (Gv),Tartalék (Gv),Tartalék (Gv),Tartalék (Gv),Tartalék (Gv),Tartalék (Gv)
1 Bzmot,6331-,Karbantartás,9530 - ÜV - 39012 - 39037 -  ÜV - 9554 - 9555 - 9564 - 9553 - 9566 - 9551,9550 - 9557 - ÜV - 9556 - 9563 - 39038,39029 - ÜV - 39054 - 39055 - 9876,9867 - ÜV - 39016 - 39023 - 39018 - 39021 - 9531 - ÜV,Karbantartás
"",-32-,9530 - ÜV - 39012 - 39037 -  ÜV - 9554 - 9555 - 9564 - 9553 - 9566 - 9551,9550 - 9557 - ÜV - 9556 - 9563 - 39038,39029 - ÜV - 39054 - 39055 - 9876,9867 - ÜV - 39016 - 39023 - 39018 - 39021 - 9531 - ÜV,Karbantartás,9530 - ...
"",-33-,9550 - 9557 - ÜV - 9556 - 9563 - 39038,39029 - ÜV - 39054 - 39055 - 9876,9867 - ÜV - 39016 - 39023 - 39018 - 39021 - 9531 - ÜV,Karbantartás,9530 - ÜV - 39012 - 39037 -  ÜV -  9566 - 9551,9550 - ...
"",-34-,39029 - ÜV - 39054 - 39055 - 9876,9867 - ÜV - 39016 - 39023 - 39018 - 39021 - 9531 - ÜV,Karbantartás,9530 - ÜV - 39012 - 39037 -  ÜV - 9566 - 9551,9550 - 9557 - 9537 - 9532 - ÜV - 9556 - 9563 - 9558 - 9561 - 39038,39029 - ...
"",-35-,9867 - ÜV - 39016 - 39023 - 39018 - 39021 - 9531 - ÜV,Karbantartás,9530 - ÜV - 39012 - 39037 -  ÜV - 9554 - 9555 - 9564 - 9553 - 9566 - 9551,9550 - 9557 - ÜV - 9556 - 9563 - 9558 - 9561 - 39038,39029 - ÜV - 39054 - 39055 - 9876,9867 - ...
"1Bzmot, 1BDzx, 1Bzmot(szinkron)",6351-,"9629 - 9630 - Karbantartás, ÜV- 19633e -  19783 - 19778  - 19761",19790v - 19769 - 19782 - ÜV - 19785 - 19776 - ÜV -19771 -  19798e,19759 - 19752 - 19787 - 19774 - ÜV - 19773 - 19786 - 19701,"19790e - 9629 - 9630 - Karbantartás, ÜV- 19633e -  19783 - 19778  - 19761",19790  - o19799 - 19760  - 19769 - 19782 - ÜV - 19785 - 19776 - ÜV -19771 - 19798e,19759 - ...
"",-52-,19790 - 19769 - 19782 - ÜV - 19785 - 19776 - ÜV -19771 - 19798e,19759 - 19752 - 19787 - 19774 - ÜV - 19773 - 19786 - 19701,"19790e - 9629 -  9630 - Karbantartás, ÜV- 19633e -  19783 - 19778  - 19761",19790v  - 119799 - 19760  - 19769 - 19782 - ÜV - 19785 - 19776 - ÜV -19771 - 19788,19719 - o19780 - 19759 - 19752 - 19787 - 19774 - ÜV  -19773 - 19786,9629 - ...
"",-53-,19759 - 19752 - 19787 - 19774 - ÜV 19773 - 19786 - 19701,"19790e  - 9629 - 9630 - Karbantartás, ÜV- 19633e -  19783 - 19778  - 19761",19790v  -  ̧19799 - 19760 - 19769 - 19782 - ÜV- 19785 - 19776 - ÜV -19771 - 19788,19719 - 119780 - 19759 - 19752 - 19787 - 19774 - ÜV  -19773 - 19786,"9629 - 9630 - Karbantartás, ÜV- 19633e -  19783 - 19778  - 19761",19790 - ...
1 Bzmot,6354-,Karbantartás - 19633v - 19636 - 9641 - ÜV,19619 - 19640 -  9649 - 19612- 9657 - 9652- 9655 - 9664- 9665 - 9656- 9653 - 9666- 9643- ÜV - 19781 -,19719  - 19770  - 19617 - 19626 - ÜV - 19751,19770v - 19627 - 19614 - 19625 - 19616 - ÜV - 19631,19610 - o19659 - o19620 - 19615 - 19624 - 19623 - 19618 - 19621 - 19638 - ÜV,Karbantartás - ...
"",-55-,19619 - 19640 -  9649 - 19612- 9657 - 9652- 9655 - 9664- 9665 - 9656- 9653 - 9666- 9643- ÜV - 19781 -,19719  - 19770  - 19617 - 19626 - ÜV - 19751,̧19780 - 19627 - 19614 - 19625 - 19616 - ÜV - 19631,19610 - 119659 - 119620 - 19615 - 19624 - 19623 - 19618 - 19621 - 19638 - ÜV,Karbantartás - 19633v - 19636 - 9641 - ÜV,19619 - ...
"",-56-,19719  - 19770  - 19617 - 19626 - ÜV - 19751,19760 - 19627 - 19614 - 19625 -19616  - ÜV - 19631,19610 -  ̧19659 -  ̧19620 - 19615 - 19624 - 19623 - 19618 - 19621 - 19638 - ÜV,Karbantartás - 19633v - 19636 - 9641 - ÜV,"19619 - o19650 - o19629 - 19640- 9649 - 19612- 9657 - 9652- 9655 - 9664- 9665 - 9656- 9653 - 9666-9643- ÜV - 19781 - 19798v",19719e-...
"",-57-,19760 - 19627 - 19614 - 19625 -19616  - ÜV - 19631,19610 -  19615 - 19624 - 19623 - 19618 - 19621 - 19638 - ÜV,Karbantartás - 19633v - 19636 - 9641 - ÜV,"19619 - 119650 - 119629 - 19640- 9649 - 19612- 9657 - 9652- 9655 - 9664- 9665 - 9656- 9653 - 9666-9643- ÜV - 19781",19770e - 19617 - 19626 -  19751,19760 -...
"",-6358,19610 -  19615 - 19624 - 19623 - 19618 - 19621 - 19638 - ÜV,Karbantartás - 19633v - 19636 - 9641 - ÜV,"19619 -  ̧19650 -  ̧19629 - 19640- 9649 - 19612- 9657 - 9652- 9655 - 9664- 9665 - 9656- 9653 - 9666-9643- ÜV - 19781",19770e - 19617 - 19626 -  19751,19770v - 19627 - 19614 - 19625 -19616  - ÜV - 19631,19610-...
1Bzx,6361-,Tartalék (Tp),Tartalék (Tp),Tartalék (Tp),Tartalék (Tp),Tartalék (Tp),Tartalék (Tp)
