Összeállítás,Szerelvénysz.,Hétfő,Kedd-Csütörtök,Péntek,Szombat,Vasárnap,Hétfő
1 Bzmot,5351-,38719 - 38712 - 38727 - 38714 - 38713 - 38726 - 38711 - ÜV,38610 - 38619 - 38620 - 38617 - Karb. - 38616 - 38613 - 38618 - 38611 - ÜV,28011e - 8330e - ÜV - 18325 - 18354 - 8315 - 8326 - 8313e,Tartalék (Sd),Tartalék (Sd),8310e - ...
1 Bzmot,-52-,38610 - 38619 - 38620 - 38617 - Karb. - 38616 - 38613 - 38618 - 38611 - ÜV,28011e - 8330e - ÜV - 18325 - 18354 - 8315 - 8326 - 8313e,8310e - 8327e - 28313e - 34715e - ÜV - 34716e - 34713e,34710 - 34717 - 34712 - 34715 - ÜV - 34716 - 34713,34710 - 34717 - 34712 - 34715 - ÜV - 34716 - 34713,34710e - ...
1 Bzmot,-53-,28011e - 8330e - ÜV - 18325 - 18354 - 8315 - 8326 - 8313e,8310e - 8327e - 28313e - 34715e - ÜV - 34716e - 34713e,34710e - 34717e - 34712e - 28310e - 8316e - 8333e - 8336 - ÜV,18319 - 8330,18319 - 8330,38717e - ...
1 Bzmot,-54-,8310e - 8327e - 28313e - 34715e - ÜV - 34716e - 34713e,34710e - 34717e - 34712e - 28310e - 8316e - 8333e - 8336 - ÜV,38717e - 38612 - 38615 - 38716 - 38723 - 38718 - 28323 - ÜV,38757 - 38612 - 38615 - ÜV - 38716 - 38723 - 38718,38757 - 38612 - 38615 - ÜV - 38716 - 38723 - 38718 - 28323 - ÜV,38719 - ...
1 Bzmot,-55-,34710e - 34717e - 34712e - 28310e - 8316e - 8333e - 8336 - ÜV,38717e - 38612 - 38615 - 38716 - 38723 - 38718 - 28323 - ÜV,38719 - 38712 - 38727 - 38714 - 38713 - 38726 - 38711 - ÜV,38712 - 38727 - 38714 - 38713 - 38726 - 38711 - ÜV,38712 - 38727 - 38714 - 38713 - 38726 - 38711 - ÜV,38610 - ...
1 Bzmot,-5356,38717e - 38612 - 38615 - 38716 - 38723 - 38718 - 28323 - ÜV,38719 - 38712 - 38727 - 38714 - 38713 - 38726 - 38711 - ÜV,38610 - 38619 - 38620 - 38617 - Karb. - 38616 - 38613 - 38658 - 38651 - 38618 - 38611 - ÜV,38610 - 38619 - 38620 - 38617 - 38616 - 38613 - 38618 - 38611 - ÜV,38610 - 38619 - 38620 - 38617 - 38616 - 38613 - 38658 - 38651 - 38618 - 38611 - ÜV,28011e - 8330e - ...
1 Bzx,5361-,8330v - Tartalék (Bz),38717v - Karbantartás,28011v - 8310v - 8327v - 28313v - 34715v - 34716v - 34713v,Tartalék (Dp),Tartalék (Dp),34710v - ...
1 Bzx,-62-,38717v - Karbantartás,28011v - 8310v - 8327v - 28313v - 34715v - 34716v - 34713v,34710v - 34717v - 34712v - 28310v - 8316v - 8333v - 8313v,Tartalék (Sd),Tartalék (Sd),8330v - ...
1 Bzx,-63-,28011v - 8310v - 8327v - 28313v - 34715v - 34716v - 34713v,34710v - 34717v - 34712v - 28310v - 8316v - 8333v - 8313v,8330v - Tartalék (Bz),Tartalék (Bz),Tartalék (Bz),38717v - ...
1 Bzx,-5364,34710v - 34717v - 34712v - 28310v - 8316v - 8333v - 8313v,8330v - Tartalék (Bz),38717v - Karbantartás,Tartalék (Ud),Tartalék (Ud),28011v - 8310v - ...
1 Bzmot,5371-,"38310<1> Kar-ig! - 38310 - 38367 - 38362 - 38365 - 38364 -38313 - ÜV - 28213 - ÜV","Karbantartás - 28210 - 8280 - 38939 - 38930 - 38949 - 38940 - 38959 - 38950 -38969 - 38932 - 38937 - 38942 - 38947 - 38914 - 38935 - 38924 - 38945 - 38934 -38955 - 38964 - 38913 - 38936 - 38923 - 38946 - 38943 - 38956 - 38953 - 38918 -38931 - 38928 - 38941 - 38948 - 38951 - 38958 - 8281",38310<1> Kar-ig! - 38310 - 38367 - 38362 - 38365 - 38364 -38313 - ÜV - 28213 - ÜV,"Karb. - 28210 - 8280 - 38939 - 38930 - 38949 - 38940 - 38959 - 38932 - 38937 -38942 - 38947 - 38914 - 38935 - 38924 - 38955 - 38954 - 38963 - 38936 - 38923 -38956 - 38953 - 38918 - 38931 - 38928 - 38941 - 38948 - 38951 - 38958 - 8281",38350 - 38397 - 38362 - 38365 - 38364 - 38313 - ÜV - 28213 - ÜV,Karb. - 28210 - 8280 - ...
1 Bzmot,-5372,"Karbantartás - 28210 - 8280 - 38939 - 38930 - 38949 - 38940 - 38959 - 38950 -38969 - 38932 - 38937 - 38942 - 38947 - 38914 - 38935 - 38924 - 38945 - 38934 -38955 - 38964 - 38913 - 38936 - 38923 - 38946 - 38943 - 38956 - 38953 - 38918 -38931 - 38928 - 38941 - 38948 - 38951 - 38958 - 8281","38310<1> Kar-ig! - 38310 - 38367 - 38362 - 38365 - 38364 -38313 - ÜV - 28213 - ÜV","Karbantartás - 28210 - 8280 - 38939 - 38930 - 38949 - 38940 - 38959 - 38950 -38969 - 38932 - 38937 - 38942 - 38947 - 38914 - 38935 - 38924 - 38945 - 38934 -38955 - 38964 - 38913 - 38936 - 38923 - 38946 - 38943 - 38956 - 38953 - 38918 -38931 - 38928 - 38941 - 38948 - 38951 - 38958 - 8281",38310 - 38367 - 38362 - 38365 - 38364 - 38313 - ÜV - 28213 - ÜV,"Karb. - 28210 - 8280 - 38939 - 38930 - 38949 - 38940 - 38959 - 38932 - 38937 -38942 - 38947 - 38914 - 38935 - 38924 - 38955 - 38954 - 38963 - 38936 - 38923 -38956 - 38953 - 38918 - 38931 - 38928 - 38941 - 38948 - 38951 - 38958 - 8281",38310<1> - ...
1 Bzmot,5373-,Tartalék (Ka),"38310v Kar-ig! - 38339e - 28211e - Karbantartás - 28212e - ÜV - 8836e -18843e - 38318e",38340e - 38317e - ÜV - 38344 - 38345 - 38314e - 38323e - 38348 - 38371,18852e - 8835e - ÜV - 38346 - 38343 - 38316 - 38341,38369 - 18842e - Tartalék (Fo) - 18841e,Tartalék (Ka)
1 Bzmot,-74-,"38310v Kar-ig! - 38339e - 28211e - Karbantartás - 28212e - ÜV - 8836e -18843e - 38318e",38340e - 38317e - ÜV - 38344 - 38345 - 38314e - 38323e,8830e - 8849e - 18852e - 8835e - ÜV - 38346e - 38343v - 38316e - 38341e,38319e - 18842e - Tartalék (Fo) - 18841e,Tartalék (Ka) - 18846e - 8831e - ÜV,38310v - ...
1 Bzmot,-75-,38340e - 38317e - ÜV - 38344 - 38345 - 38314e - 38323e,8830e - 8849e - 18852e - 8835e - ÜV - 38346e - 38343v - 38316e - 38341e,38319e - 18842e - 8835v - ÜV - 38346v - 38343e - 18846 - 8831e - ÜV,Tartalék (Ka) - 18846e - 8831e - ÜV,28211 - Karbantartás - 28212 - ÜV - 8836e - 18843e - 38318,38340e - ...
1 Bzmot,-76-,8830e - 8849e - 18852e - 8835e - ÜV - 38346e - 38343v - 38316e - 38341e,"38319e - 18842e - 8835v - ÜV - 38346v - 38343e - 18846 -8831e - ÜV - 38348 - 38371",Tartalék (Ka),28211 - Karbantartás - 28212 - ÜV - 8836e - 18843e - 38318,38340 - 38357 - ÜV - 38344 - 38345 - 38314e - 38323e,8830e - ...
1 Bzmot,-5377,"38319e - 18842e - 8835v - ÜV - 38346v - 38343e - 18846 -8831e - ÜV - 38348 - 38371",Tartalék (Ka),"38310v Kar-ig! - 38339e - 28211e - Karbantartás - 28212e - ÜV - 8836e -18843e - 38318",38340 - 38317 - ÜV - 38344 - 38345 - 38314e - 38323e,18852e - 8835e - ÜV - 38346 - 38343 - 38316 - 38341,38319e - ...
1 Bzx,5381-,Tartalék (Ka),38310k Kar-ig! - 38339v - 28211v - Karbantartás - 28212v - 8836v - 18843v - 38318v,38340v - 38317v - 38314v - 38323v,Tartalék (Ka) - 18846v - 8831v,18842v - Tartalék (Fo) - 18841v,Tartalék (Ka)
1 Bzx,-82-,38310k Kar-ig! - 38339v - 28211v - Karbantartás - 28212v - 8836v - 18843v - 38318v,38340v - 38317v - 38314v - 38323v,8830v - 8849v - 18852v - 8835k - 38346k -  38343k - 38316v - 38341v,38319v - 18842v - Tartalék (Fo) - 18841v,Tartalék (Ka) - 18846v - 8831v,38310k - ...
1 Bzx,-83-,38340v - 38317v - 38314v - 38323v,8830v - 8849v - 18852v - 8835k - 38346k -  38343k - 38316v - 38341v,38319v - 18842v - 8831v,18852v - 8835v - 8836v - 18843v,18852v - 8835v - 8836v - 18843v - 38318k,38340v - ...
1 Bzx,-84-,8830v - 8849v - 18852v - 8835k - 38346k -  38343k - 38316v - 38341v,38319v - 18842v - 8831v,Tartalék (Ka),Tartalék (Ka),38314v - 38323v,8830v - ...
1 Bzx,-5385,38319v - 18842v - 8831v,Tartalék (Ka),38310k Kar-ig! - 38339v - 28211v - Karbantartás - 28212v - 8836v - 18843v,38314v - 38323v,Tartalék (Ka) - 38318v LEZÁRVA!!!,38319v - ...
"1 Bzmot, 1 Bzx, 1 Bzmot",5399,Tartalék (Ps),Tartalék (Ps),Tartalék (Ps),Tartalék (Ps) - 28021 - ÜV,Karbantartás - 28020 - Tartalék (Ps),Tartalék (Ps)
